Language,Wiki,botArticles
English,en,167363
Cebuano,ceb,6099406
German,de,1627
Swedish,sv,1745105
French,fr,77363
Dutch,nl,848862
Russian,ru,150491
Spanish,es,1976
Italian,it,115238
Egyptian Arabic,arz,15
Polish,pl,185976
Japanese,ja,288
Chinese,zh,159655
Vietnamese,vi,746626
Waray,war,1142993
Ukrainian,uk,267351
Arabic,ar,480172
Portuguese,pt,132173
Persian,fa,293645
Catalan,ca,73470
Serbian,sr,326500
Indonesian,id,158893
Korean,ko,30317
Norwegian (Bokmål),no,8445
Chechen,ce,504686
Finnish,fi,8690
Hungarian,hu,79352
Czech,cs,2800
Turkish,tr,16902
Tatar,tt,431558
Serbo-Croatian,sh,254296
Romanian,ro,184781
Southern Min,zh-min-nan,401203
Basque,eu,202615
Malay,ms,58833
Esperanto,eo,34962
Hebrew,he,1917
Armenian,hy,68496
Danish,da,16070
Bulgarian,bg,35600
Welsh,cy,184184
Slovak,sk,84719
South Azerbaijani,azb,189379
Estonian,et,825
Kazakh,kk,120550
Belarusian,be,50314
Simple English,simple,5103
Minangkabau,min,1116
Uzbek,uz,117457
Greek,el,666
Croatian,hr,14350
Lithuanian,lt,3430
Galician,gl,7924
Azerbaijani,az,2269
Urdu,ur,86913
Slovene,sl,908
Georgian,ka,5412
Norwegian (Nynorsk),nn,1761
Hindi,hi,14351
Thai,th,66
Tamil,ta,23700
Latin,la,5402
Bengali,bn,4530
Macedonian,mk,18179
Asturian,ast,94857
Cantonese,zh-yue,4
Ladin,lld,0
Latvian,lv,12
Tajik,tg,28013
Afrikaans,af,34558
Burmese,my,68150
Malagasy,mg,85574
Bosnian,bs,14247
Marathi,mr,2853
Albanian,sq,9092
Occitan,oc,37273
Low German,nds,1096
Malayalam,ml,3
Belarusian (Taraškievica),be-tarask,346
Telugu,te,28487
Kyrgyz,ky,50078
Breton,br,2
Swahili,sw,96
Javanese,jv,2414
Newar,new,63459
Venetian,vec,37035
Haitian Creole,ht,0
Western Punjabi,pnb,0
Piedmontese,pms,48638
Bashkir,ba,27984
Luxembourgish,lb,1633
Sundanese,su,19773
Kurdish (Kurmanji),ku,788
Irish,ga,6711
Lombard,lmo,29731
Silesian,szl,43314
Icelandic,is,11
West Frisian,fy,1
Chuvash,cv,22843
Kurdish (Sorani),ckb,12458
Punjabi,pa,0
Tagalog,tl,96
Aragonese,an,4234
Wu Chinese,wuu,1591
Zaza,diq,1
Ido,io,0
Scots,sco,47
Volapük,vo,15045
Yoruba,yo,2
Nepali,ne,813
Gujarati,gu,1
Interlingua,ia,296
Kannada,kn,0
Alemannic German,als,1131
Kotava,avk,0
Bavarian,bar,81
Sicilian,scn,0
Bishnupriya Manipuri,bpy,22935
Hausa,ha,0
Crimean Tatar,crh,2037
Quechua (Southern Quechua),qu,2872
Navajo,nv,0
Mongolian,mn,267
Mingrelian,xmf,404
Sinhala,si,0
Balinese,ban,3
Pashto,ps,1007
North Frisian,frr,2
Samogitian,bat-smg,0
Ossetian,os,2478
Odia,or,3146
Yakut,sah,0
Eastern Min,cdo,8882
Scottish Gaelic,gd,3
Buginese,bug,0
Yiddish,yi,0
Sindhi,sd,55
Ilocano,ilo,0
Amharic,am,1988
Neapolitan,nap,8056
Mazanderani,mzn,7703
Limburgish,li,4
Gorontalo,gor,0
Upper Sorbian,hsb,0
Faroese,fo,0
Banyumasan,map-bms,7001
Igbo,ig,0
Maithili,mai,2
Central Bikol,bcl,0
Emilian-Romagnol,eml,0
Shan,shn,0
Acehnese,ace,0
Classical Chinese,zh-classical,0
Sanskrit,sa,1840
Walloon,wa,0
Assamese,as,0
Interlingue,ie,0
Ligurian,lij,0
Zulu,zu,0
Meadow Mari,mhr,1811
Western Armenian,hyw,0
Fiji Hindi,hif,1981
Hill Mari,mrj,2014
Shona,sn,0
Banjarese,bjn,0
Meitei,mni,0
Khmer,km,6
Hakka Chinese,hak,0
Tumbuka,tum,0
Tarantino,roa-tara,7521
Somali,so,1
Kapampangan,pam,0
Rusyn,rue,244
Northern Sotho,nso,0
Bihari (Bhojpuri),bh,1429
Santali,sat,0
Northern Sámi,se,1451
Erzya,myv,674
Māori,mi,4949
West Flemish,vls,0
Dutch Low Saxon,nds-nl,492
Nahuatl,nah,1
Sardinian,sc,0
Cornish,kw,0
Gilaki,glk,0
Veps,vep,0
Kabyle,kab,0
Turkmen,tk,1
Gan Chinese,gan,672
Moroccan Arabic,ary,742
Corsican,co,1
Dagbani,dag,0
Võro,fiu-vro,0
Lhasa Tibetan,bo,0
Abkhaz,ab,0
Manx,gv,0
Saraiki,skr,0
Zeelandic,zea,1730
Franco-Provençal,frp,0
Uyghur,ug,2
Kinyarwanda,rw,0
Udmurt,udm,152
Picard,pcd,0
Komi,kv,0
Kashubian,csb,362
Maltese,mt,0
Guarani,gn,1
Inari Sámi,smn,0
Aymara,ay,0
Norman,nrm,0
Lezgian,lez,0
Lingua Franca Nova,lfn,0
Livvi-Karelian,olo,0
Saterland Frisian,stq,1
Mirandese,mwl,0
Lao,lo,17
Old English,ang,0
Friulian,fur,121
Romansh,rm,0
Judaeo-Spanish,lad,0
Konkani (Goan Konkani),gom,0
Permyak,koi,0
Extremaduran,ext,0
Tuvan,tyv,0
Lower Sorbian,dsb,4
Avar,av,154
Lingala,ln,0
Doteli,dty,0
Karakalpak,kaa,0
Papiamento,pap,0
Chavacano (Zamboanga),cbk-zam,0
Maldivian,dv,0
Moksha,mdf,0
Ripuarian,ksh,7
Twi,tw,0
Gagauz,gag,569
Kashmiri,ks,1242
Buryat (Russia Buriat),bxr,0
Palatine German,pfl,1
Luganda,lg,0
Zhuang (Standard Zhuang),za,0
Pali,pi,2532
Pangasinan,pag,0
Sakizaya,szy,0
Hawaiian,haw,0
Awadhi,awa,0
Atayal,tay,0
Pa'O,blk,0
Ingush,inh,0
Karachay-Balkar,krc,376
Kalmyk Oirat,xal,0
Pennsylvania Dutch,pdc,2
Tongan,to,0
Atikamekw,atj,0
Aramaic (Syriac),arc,0
Tulu,tcy,0
Mon,mnw,0
Jamaican Patois,jam,0
Kabiye,kbp,0
Nauruan,na,0
Wolof,wo,0
Kabardian,kbd,0
Nias,nia,0
Novial,nov,65
Shilha,shi,0
Kikuyu,ki,0
N'Ko,nqo,0
Bislama,bi,0
Tok Pisin,tpi,0
Tetum,tet,429
Lojban,jbo,3
Aromanian,roa-rup,0
Xhosa,xh,3
Fijian,fj,21
Kongo (Kituba),kg,0
Lak,lbe,50
Oromo,om,0
Tahitian,ty,0
Gun,guw,0
Old Church Slavonic,cu,1
Seediq,trv,0
Sranan Tongo,srn,0
Samoan,sm,0
Southern Altai,alt,0
French Guianese Creole,gcr,0
Cherokee,chr,0
Latgalian,ltg,0
Tswana,tn,0
Chewa,ny,0
Madurese,mad,0
Sotho,st,0
Norfuk,pih,0
Gothic,got,0
Ewe,ee,0
Amis,ami,0
Romani (Vlax Romani),rmy,0
Bambara,bm,0
Fula,ff,0
Venda,ve,0
Tsonga,ts,0
Cheyenne,chy,0
Swazi,ss,0
Kirundi,rn,0
Tyap,kcg,0
Nigerian Pidgin,pcm,0
Chamorro,ch,0
Iñupiaq,ik,0
Pontic Greek,pnt,0
Wayuu,guc,0
Adyghe,ady,0
Inuktitut,iu,0
Akan,ak,0
Paiwan,pwn,0
Sango,sg,0
Dinka,din,0
Tigrinya,ti,0
Greenlandic,kl,0
Dzongkha,dz,0
Frafra,gur,0
Cree,cr,0
