Language,Wiki,botEdits
English,en,71455459
Cebuano,ceb,32822497
German,de,13181454
Swedish,sv,17360643
French,fr,22952861
Dutch,nl,15200638
Russian,ru,15561696
Spanish,es,19163077
Italian,it,26938733
Egyptian Arabic,arz,4517097
Polish,pl,17492515
Japanese,ja,6532604
Chinese,zh,8362710
Vietnamese,vi,19224270
Waray,war,4962642
Ukrainian,uk,9811670
Arabic,ar,24003993
Portuguese,pt,9304781
Persian,fa,11212397
Catalan,ca,15709581
Serbian,sr,13692937
Indonesian,id,7730338
Korean,ko,6411686
Norwegian (Bokmål),no,6291871
Chechen,ce,7375144
Finnish,fi,3803152
Hungarian,hu,5024875
Czech,cs,5660646
Turkish,tr,5277506
Tatar,tt,2790487
Serbo-Croatian,sh,17105739
Romanian,ro,5140391
Southern Min,zh-min-nan,2165156
Basque,eu,4473376
Malay,ms,1789849
Esperanto,eo,3221836
Hebrew,he,4903392
Armenian,hy,3215903
Danish,da,3068892
Bulgarian,bg,3703025
Welsh,cy,10113230
Slovak,sk,2624998
South Azerbaijani,azb,758060
Estonian,et,1376741
Kazakh,kk,1212877
Belarusian,be,1605447
Simple English,simple,1637269
Minangkabau,min,1851865
Uzbek,uz,1942029
Greek,el,1524403
Croatian,hr,1970874
Lithuanian,lt,2560688
Galician,gl,1989741
Azerbaijani,az,1390754
Urdu,ur,2222720
Slovene,sl,1864111
Georgian,ka,1134222
Norwegian (Nynorsk),nn,1395193
Hindi,hi,1240240
Thai,th,1588424
Tamil,ta,834213
Latin,la,1402593
Bengali,bn,1394790
Macedonian,mk,984170
Asturian,ast,2763936
Cantonese,zh-yue,392424
Ladin,lld,215
Latvian,lv,1024583
Tajik,tg,582648
Afrikaans,af,813324
Burmese,my,244082
Malagasy,mg,746090
Bosnian,bs,1263486
Marathi,mr,812384
Albanian,sq,867421
Occitan,oc,1142164
Low German,nds,441872
Malayalam,ml,472046
Belarusian (Taraškievica),be-tarask,674683
Telugu,te,662946
Kyrgyz,ky,142233
Breton,br,725834
Swahili,sw,528691
Javanese,jv,789187
Newar,new,387169
Venetian,vec,630993
Haitian Creole,ht,569135
Western Punjabi,pnb,287417
Piedmontese,pms,631724
Bashkir,ba,367546
Luxembourgish,lb,1054280
Sundanese,su,346833
Kurdish (Kurmanji),ku,494889
Irish,ga,472400
Lombard,lmo,530386
Silesian,szl,169799
Icelandic,is,596451
West Frisian,fy,359239
Chuvash,cv,433196
Kurdish (Sorani),ckb,274263
Punjabi,pa,139903
Tagalog,tl,733575
Aragonese,an,963200
Wu Chinese,wuu,71227
Zaza,diq,108855
Ido,io,611087
Scots,sco,226653
Volapük,vo,740158
Yoruba,yo,278466
Nepali,ne,182072
Gujarati,gu,263632
Interlingua,ia,330876
Kannada,kn,195236
Alemannic German,als,234024
Kotava,avk,709
Bavarian,bar,143618
Sicilian,scn,457465
Bishnupriya Manipuri,bpy,450121
Hausa,ha,16558
Crimean Tatar,crh,73843
Quechua (Southern Quechua),qu,332161
Navajo,nv,31341
Mongolian,mn,151239
Mingrelian,xmf,30460
Sinhala,si,44814
Balinese,ban,34467
Pashto,ps,60785
North Frisian,frr,38924
Samogitian,bat-smg,210203
Ossetian,os,231276
Odia,or,99782
Yakut,sah,156811
Eastern Min,cdo,23208
Scottish Gaelic,gd,322044
Buginese,bug,154684
Yiddish,yi,217906
Sindhi,sd,21330
Ilocano,ilo,138321
Amharic,am,213965
Neapolitan,nap,471852
Mazanderani,mzn,76659
Limburgish,li,213955
Gorontalo,gor,239
Upper Sorbian,hsb,116612
Faroese,fo,160172
Banyumasan,map-bms,134643
Igbo,ig,35118
Maithili,mai,1549
Central Bikol,bcl,108003
Emilian-Romagnol,eml,33245
Shan,shn,1403
Acehnese,ace,55179
Classical Chinese,zh-classical,62174
Sanskrit,sa,130444
Walloon,wa,155998
Assamese,as,27898
Interlingue,ie,74987
Ligurian,lij,108325
Zulu,zu,15965
Meadow Mari,mhr,72051
Western Armenian,hyw,44647
Fiji Hindi,hif,93196
Hill Mari,mrj,49648
Shona,sn,13899
Banjarese,bjn,22963
Meitei,mni,87
Khmer,km,33681
Hakka Chinese,hak,59898
Tumbuka,tum,4512
Tarantino,roa-tara,68447
Somali,so,63074
Kapampangan,pam,193847
Rusyn,rue,56796
Northern Sotho,nso,9944
Bihari (Bhojpuri),bh,31652
Santali,sat,8
Northern Sámi,se,155052
Erzya,myv,47506
Māori,mi,95335
West Flemish,vls,114743
Dutch Low Saxon,nds-nl,134879
Nahuatl,nah,202731
Sardinian,sc,65125
Cornish,kw,116648
Gilaki,glk,6725
Veps,vep,17413
Kabyle,kab,24625
Turkmen,tk,131905
Gan Chinese,gan,137510
Moroccan Arabic,ary,100672
Corsican,co,118263
Dagbani,dag,73
Võro,fiu-vro,104891
Lhasa Tibetan,bo,68220
Abkhaz,ab,15550
Manx,gv,135775
Saraiki,skr,67
Zeelandic,zea,50856
Franco-Provençal,frp,131504
Uyghur,ug,82834
Kinyarwanda,rw,30462
Udmurt,udm,50459
Picard,pcd,27425
Komi,kv,67128
Kashubian,csb,113292
Maltese,mt,63904
Guarani,gn,58290
Inari Sámi,smn,349
Aymara,ay,43004
Norman,nrm,172629
Lezgian,lez,10113
Lingua Franca Nova,lfn,2064
Livvi-Karelian,olo,3307
Saterland Frisian,stq,61438
Mirandese,mwl,33196
Lao,lo,20559
Old English,ang,88472
Friulian,fur,115400
Romansh,rm,61766
Judaeo-Spanish,lad,54001
Konkani (Goan Konkani),gom,3383
Permyak,koi,23103
Extremaduran,ext,56175
Tuvan,tyv,737
Lower Sorbian,dsb,44879
Avar,av,20968
Lingala,ln,64734
Doteli,dty,782
Karakalpak,kaa,19538
Papiamento,pap,37613
Chavacano (Zamboanga),cbk-zam,27699
Maldivian,dv,73207
Moksha,mdf,19982
Ripuarian,ksh,79757
Twi,tw,4726
Gagauz,gag,28369
Kashmiri,ks,7485
Buryat (Russia Buriat),bxr,7408
Palatine German,pfl,21142
Luganda,lg,5665
Zhuang (Standard Zhuang),za,14137
Pali,pi,85498
Pangasinan,pag,29854
Sakizaya,szy,11382
Hawaiian,haw,53539
Awadhi,awa,41
Atayal,tay,38
Pa'O,blk,0
Ingush,inh,1379
Karachay-Balkar,krc,44756
Kalmyk Oirat,xal,49794
Pennsylvania Dutch,pdc,49135
Tongan,to,12108
Atikamekw,atj,28
Aramaic (Syriac),arc,56547
Tulu,tcy,682
Mon,mnw,192
Jamaican Patois,jam,1716
Kabiye,kbp,31
Nauruan,na,32084
Wolof,wo,50518
Kabardian,kbd,14832
Nias,nia,3
Novial,nov,69074
Shilha,shi,3009
Kikuyu,ki,4610
N'Ko,nqo,12
Bislama,bi,16966
Tok Pisin,tpi,35096
Tetum,tet,30011
Lojban,jbo,66518
Aromanian,roa-rup,16358
Xhosa,xh,7495
Fijian,fj,4988
Kongo (Kituba),kg,25823
Lak,lbe,15158
Oromo,om,8269
Tahitian,ty,31423
Gun,guw,751
Old Church Slavonic,cu,26940
Seediq,trv,124
Sranan Tongo,srn,21379
Samoan,sm,18297
Southern Altai,alt,305
French Guianese Creole,gcr,166
Cherokee,chr,15184
Latgalian,ltg,9778
Tswana,tn,5211
Chewa,ny,3122
Madurese,mad,45
Sotho,st,7847
Norfuk,pih,22844
Gothic,got,8454
Ewe,ee,18727
Amis,ami,1848
Romani (Vlax Romani),rmy,21502
Bambara,bm,16612
Fula,ff,6073
Venda,ve,3750
Tsonga,ts,10644
Cheyenne,chy,6403
Swazi,ss,16153
Kirundi,rn,4772
Tyap,kcg,389
Nigerian Pidgin,pcm,0
Chamorro,ch,5535
Iñupiaq,ik,11932
Pontic Greek,pnt,15547
Wayuu,guc,0
Adyghe,ady,436
Inuktitut,iu,18106
Akan,ak,1211
Paiwan,pwn,308
Sango,sg,7210
Dinka,din,80
Tigrinya,ti,5088
Greenlandic,kl,6927
Dzongkha,dz,10317
Frafra,gur,0
Cree,cr,2852
