Language,Wiki,Articles
English,en,6664191
Cebuano,ceb,6123335
German,de,2806282
Swedish,sv,2564463
French,fr,2526907
Dutch,nl,2123858
Russian,ru,1919744
Spanish,es,1867110
Italian,it,1813163
Egyptian Arabic,arz,1617808
Polish,pl,1570051
Japanese,ja,1375993
Chinese,zh,1358547
Vietnamese,vi,1283881
Ukrainian,uk,1266668
Waray,war,1266160
Arabic,ar,1207295
Portuguese,pt,1103348
Persian,fa,964466
Catalan,ca,728729
Serbian,sr,671359
Indonesian,id,650119
Korean,ko,636278
Norwegian (Bokmål),no,611610
Chechen,ce,599841
Finnish,fi,553804
Hungarian,hu,526145
Czech,cs,525404
Turkish,tr,524399
Tatar,tt,500234
Serbo-Croatian,sh,458229
Romanian,ro,439966
Southern Min,zh-min-nan,432470
Basque,eu,411932
Malay,ms,365157
Esperanto,eo,337631
Hebrew,he,335573
Armenian,hy,297974
Danish,da,291806
Bulgarian,bg,291458
Welsh,cy,278933
Slovak,sk,244886
South Azerbaijani,azb,243019
Uzbek,uz,239432
Estonian,et,236731
Kazakh,kk,233748
Belarusian,be,231692
Simple English,simple,231269
Minangkabau,min,226723
Greek,el,222925
Croatian,hr,215296
Lithuanian,lt,210672
Galician,gl,196690
Azerbaijani,az,194501
Urdu,ur,191045
Slovene,sl,181261
Georgian,ka,168119
Ladin,lld,167761
Norwegian (Nynorsk),nn,165625
Hindi,hi,156813
Thai,th,156437
Tamil,ta,154256
Bengali,bn,138339
Latin,la,137861
Macedonian,mk,136419
Cantonese,zh-yue,132644
Asturian,ast,132599
Latvian,lv,120381
Tajik,tg,109735
Afrikaans,af,108244
Burmese,my,106571
Malagasy,mg,95588
Marathi,mr,92519
Bosnian,bs,92072
Albanian,sq,90427
Occitan,oc,88765
Low German,nds,84207
Malayalam,ml,83677
Telugu,te,83183
Belarusian (Taraškievica),be-tarask,82947
Kyrgyz,ky,80347
Breton,br,80020
Swahili,sw,77350
Javanese,jv,72513
Newar,new,72348
Lombard,lmo,71108
Western Punjabi,pnb,69978
Venetian,vec,69170
Haitian Creole,ht,68464
Piedmontese,pms,67892
Bashkir,ba,62953
Luxembourgish,lb,61773
Sundanese,su,61511
Kurdish (Kurmanji),ku,59223
Irish,ga,58612
Silesian,szl,57018
Icelandic,is,56744
West Frisian,fy,51530
Chuvash,cv,51155
Punjabi,pa,50085
Kurdish (Sorani),ckb,49900
Tagalog,tl,44830
Aragonese,an,43748
Wu Chinese,wuu,42860
Zaza,diq,40513
Ido,io,37710
Scots,sco,36148
Volapük,vo,33639
Yoruba,yo,32661
Nepali,ne,31731
Interlingua,ia,30262
Gujarati,gu,30182
Kannada,kn,30002
Alemannic German,als,29805
Kotava,avk,27610
Bavarian,bar,26916
Hausa,ha,26713
Sicilian,scn,26244
Crimean Tatar,crh,25583
Bishnupriya Manipuri,bpy,25090
Quechua (Southern Quechua),qu,23707
Navajo,nv,22252
Mongolian,mn,22108
Mingrelian,xmf,20197
Balinese,ban,19265
Sinhala,si,19156
Pashto,ps,17665
North Frisian,frr,17400
Samogitian,bat-smg,17154
Ossetian,os,17056
Odia,or,16799
Yakut,sah,16559
Eastern Min,cdo,16222
Scottish Gaelic,gd,15932
Buginese,bug,15825
Mazanderani,mzn,15773
Yiddish,yi,15510
Sindhi,sd,15462
Ilocano,ilo,15378
Igbo,ig,15226
Amharic,am,15202
Neapolitan,nap,14778
Limburgish,li,14304
Tumbuka,tum,14233
Faroese,fo,13929
Gorontalo,gor,13904
Upper Sorbian,hsb,13896
Banyumasan,map-bms,13881
Maithili,mai,13755
Central Bikol,bcl,13743
Shan,shn,13075
Emilian-Romagnol,eml,13032
Acehnese,ace,12735
Classical Chinese,zh-classical,12447
Sanskrit,sa,12052
Assamese,as,11825
Walloon,wa,11792
Interlingue,ie,11649
Ligurian,lij,11134
Zulu,zu,10993
Meadow Mari,mhr,10912
Western Armenian,hyw,10747
Fiji Hindi,hif,10668
Shona,sn,10556
Hill Mari,mrj,10431
Banjarese,bjn,10281
Meitei,mni,10221
Khmer,km,10163
Hakka Chinese,hak,10085
Somali,so,9471
Tarantino,roa-tara,9320
Kapampangan,pam,8909
Rusyn,rue,8657
Northern Sotho,nso,8548
Bihari (Bhojpuri),bh,8439
Santali,sat,8342
Northern Sámi,se,7842
Māori,mi,7807
Erzya,myv,7804
West Flemish,vls,7781
Dutch Low Saxon,nds-nl,7671
Sardinian,sc,7401
Cornish,kw,7016
Dagbani,dag,6907
Veps,vep,6853
Gilaki,glk,6816
Moroccan Arabic,ary,6713
Turkmen,tk,6703
Kabyle,kab,6696
Gan Chinese,gan,6635
Lhasa Tibetan,bo,6582
Corsican,co,6577
Võro,fiu-vro,6501
Abkhaz,ab,6074
Kinyarwanda,rw,6014
Manx,gv,5960
Nahuatl,nah,5927
Uyghur,ug,5867
Zeelandic,zea,5736
Saraiki,skr,5719
Franco-Provençal,frp,5671
Udmurt,udm,5594
Picard,pcd,5535
Komi,kv,5507
Kashubian,csb,5452
Maltese,mt,5375
Guarani,gn,5275
Inari Sámi,smn,5097
Aymara,ay,5058
Norman,nrm,4848
Lezgian,lez,4348
Lingua Franca Nova,lfn,4201
Mirandese,mwl,4156
Livvi-Karelian,olo,4146
Saterland Frisian,stq,4094
Kashmiri,ks,4034
Lao,lo,3990
Old English,ang,3950
Friulian,fur,3849
Romansh,rm,3760
Judaeo-Spanish,lad,3627
Konkani (Goan Konkani),gom,3574
Extremaduran,ext,3488
Permyak,koi,3443
Tuvan,tyv,3441
Moksha,mdf,3406
Lower Sorbian,dsb,3342
Avar,av,3337
Lingala,ln,3328
Doteli,dty,3327
Karakalpak,kaa,3325
Papiamento,pap,3222
Twi,tw,3184
Chavacano (Zamboanga),cbk-zam,3128
Maldivian,dv,3030
Ripuarian,ksh,2937
Gagauz,gag,2803
Buryat (Russia Buriat),bxr,2772
Palatine German,pfl,2742
Luganda,lg,2703
Zhuang (Standard Zhuang),za,2600
Pali,pi,2548
Sakizaya,szy,2512
Pangasinan,pag,2510
Hawaiian,haw,2500
Awadhi,awa,2434
Atayal,tay,2430
Pa'O,blk,2391
Ingush,inh,2174
Karachay-Balkar,krc,2079
Kalmyk Oirat,xal,2049
Pennsylvania Dutch,pdc,2005
Tongan,to,1964
Atikamekw,atj,1955
Aramaic (Syriac),arc,1886
Tulu,tcy,1881
Mon,mnw,1789
Jamaican Patois,jam,1707
Kabiye,kbp,1697
Wolof,wo,1668
Kabardian,kbd,1605
Nias,nia,1569
Shilha,shi,1536
Novial,nov,1532
Kikuyu,ki,1505
N'Ko,nqo,1481
Bislama,bi,1411
Tok Pisin,tpi,1359
Tetum,tet,1350
Aromanian,roa-rup,1333
Xhosa,xh,1331
Lojban,jbo,1328
Oromo,om,1319
Fijian,fj,1277
Kongo (Kituba),kg,1277
Lak,lbe,1267
Tahitian,ty,1219
Gun,guw,1207
Old Church Slavonic,cu,1200
Seediq,trv,1137
Sranan Tongo,srn,1118
Samoan,sm,1076
Southern Altai,alt,1068
French Guianese Creole,gcr,1064
Tswana,tn,1052
Cherokee,chr,1051
Latgalian,ltg,1042
Madurese,mad,1033
Fula,ff,1025
Chewa,ny,1023
Sotho,st,914
Norfuk,pih,897
Gothic,got,872
Romani (Vlax Romani),rmy,855
Ewe,ee,832
Amis,ami,816
Bambara,bm,792
Venda,ve,748
Tsonga,ts,741
Cheyenne,chy,696
Nigerian Pidgin,pcm,676
Swazi,ss,673
Tyap,kcg,638
Kirundi,rn,633
Chamorro,ch,544
Frafra,gur,536
Iñupiaq,ik,504
Pontic Greek,pnt,487
Adyghe,ady,477
Wayuu,guc,473
Inuktitut,iu,451
Paiwan,pwn,331
Sango,sg,315
Dinka,din,309
Tigrinya,ti,265
Greenlandic,kl,243
Dzongkha,dz,237
Cree,cr,161
Akan,ak,0
